word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
spinkletta,W1,gpt-5.4-mini,0.0,round_body,30,30,1.000,0.886,1.000
spinkletta,W1,gpt-5.4-mini,0.0,soft_texture,30,30,1.000,0.886,1.000
spinkletta,W1,gpt-5.4-mini,0.0,lavender_purple,25,30,0.833,0.664,0.927
spinkletta,W1,gpt-5.4-mini,0.0,six_legs,0,30,0.000,0.000,0.114
spinkletta,W1,gpt-5.4-mini,0.0,humming_vocal,9,30,0.300,0.167,0.479
spinkletta,W1,gpt-5.4-mini,0.0,bioluminescence,17,30,0.567,0.392,0.726
spinkletta,W1,gpt-5.4-mini,0.0,large_eyes,20,30,0.667,0.488,0.808
spinkletta,W1,gpt-5.4-mini,0.0,spiral_tail,7,30,0.233,0.118,0.409
spinkletta,W1,gpt-5.4-mini,0.0,object_collecting,18,30,0.600,0.423,0.754
spinkletta,W1,gpt-5.4-mini,0.0,mood_color,8,30,0.267,0.142,0.444
spinkletta,W1,gpt-5.4-mini,0.0,waddle_gait,3,30,0.100,0.035,0.256
spinkletta,W1,gpt-5.4-mini,0.0,shy_gentle,28,30,0.933,0.787,0.982
spinkletta,W1,gpt-5.4-mini,0.0,curious,29,30,0.967,0.833,0.994
spinkletta,W1,gpt-5.4-mini,0.0,name_from_sound,0,30,0.000,0.000,0.114
spinkletta,W1,gpt-5.4-mini,1.0,round_body,39,50,0.780,0.648,0.872
spinkletta,W1,gpt-5.4-mini,1.0,soft_texture,50,50,1.000,0.929,1.000
spinkletta,W1,gpt-5.4-mini,1.0,lavender_purple,30,50,0.600,0.462,0.724
spinkletta,W1,gpt-5.4-mini,1.0,six_legs,0,50,0.000,0.000,0.071
spinkletta,W1,gpt-5.4-mini,1.0,humming_vocal,16,50,0.320,0.208,0.458
spinkletta,W1,gpt-5.4-mini,1.0,bioluminescence,36,50,0.720,0.583,0.825
spinkletta,W1,gpt-5.4-mini,1.0,large_eyes,17,50,0.340,0.224,0.478
spinkletta,W1,gpt-5.4-mini,1.0,spiral_tail,6,50,0.120,0.056,0.238
